PREBEN,"Chair, brown-black, Tenö light gray",002.013.34,Designers Christina Halskov & Hanne Dalsgaard,http://www.ikea.com/PIAimages/0140020_PE299967_S3.JPG
ODDMUND,"Chair, black stained Isunda, Isunda gray",303.015.20,IKEA of Sweden,http://www.ikea.com/PIAimages/0406161_PE569309_S3.JPG
ODDMUND,"Chair, black stained Idhult, Idhult black",003.275.12,IKEA of Sweden,http://www.ikea.com/PIAimages/0406160_PE569308_S3.JPG
HERMAN,"Chair, white",701.559.65,Ola Hermansson,http://www.ikea.com/PIAimages/0094417_PE232296_S3.JPG
BERNHARD,"Chair, chrome plated, Kavat Mjuk white",801.530.70,Ola Wihlborg,http://www.ikea.com/PIAimages/0094409_PE232293_S3.JPG
BERNHARD,"Chair, chrome plated, Kavat Mjuk dark brown",501.638.05,Ola Wihlborg,http://www.ikea.com/PIAimages/0094408_PE232292_S3.JPG
BERNHARD,"Chair, chrome plated, Mjuk green",203.347.38,Ola Wihlborg,http://www.ikea.com/PIAimages/0438855_PE591866_S3.JPG
BERNHARD,"Chair, chrome plated, Mjuk orange",703.347.31,Ola Wihlborg,http://www.ikea.com/PIAimages/0438861_PE591869_S3.JPG
VILMAR,"Chair, white, chrome plated",198.897.48,Designer Johanna Jelinek,http://www.ikea.com/PIAimages/0214682_PE370791_S3.JPG
VILMAR,"Chair, brown-black, chrome plated",798.897.50,Designer Johanna Jelinek,http://www.ikea.com/PIAimages/0125493_PE283073_S3.JPG
VILMAR,"Chair, orange, chrome plated",490.115.30,Johanna Jelinek,http://www.ikea.com/PIAimages/0259513_PE403158_S3.JPG
VILMAR,"Chair, stripe black, chrome plated",998.897.54,Designer Johanna Jelinek,http://www.ikea.com/PIAimages/0165012_PE321136_S3.JPG
VILMAR,"Chair, red, chrome plated",098.897.58,Designer Johanna Jelinek,http://www.ikea.com/PIAimages/0125495_PE283075_S3.JPG
TOBIAS,"Chair, clear, chrome plated",201.150.38,Designer Carl Öjerstam:,http://www.ikea.com/PIAimages/74048_PE190789_S3.JPG
TOBIAS,"Chair, gray, chrome plated",901.853.20,Carl Öjerstam,http://www.ikea.com/PIAimages/0106136_PE254169_S3.JPG
TOBIAS,"Chair, lilac, chrome plated",502.687.65,Carl Öjerstam,http://www.ikea.com/PIAimages/0216922_PE372930_S3.JPG
VOLFGANG,"Chair, chrome plated, Dansbo dark gray",603.472.01,"",http://www.ikea.com/PIAimages/0271855_PE413657_S3.JPG
VOLFGANG,"Chair, chrome plated, Idhult black",803.471.96,"",http://www.ikea.com/PIAimages/0271848_PE413639_S3.JPG
